beruf,titel,refnr,arbeitsort,lat,lon,arbeitgeber,veroeffentlichungsdatum,eintrittsdatum
Informatiker/in,Childcare Worker with B1 German (m/w/d),13319-802582/1_531201LS-S,"Unknown, 00000 Stuttgart, Baden-Württemberg",48.77467198245834,9.174501243656254,Hays AG,2025-02-18,2025-02-18
Wirtschaftsinformatiker/in (Hochschule),Solution Architect M365 (m/w/d),13319-798581/1_535171LS-S,"Unknown, 00000 Ahlen, Westfalen, Nordrhein-Westfalen",51.767686812813075,7.897183407782062,Hays AG,2025-02-18,2025-02-18
Informatiker/in,Mitarbeiter Customer Care  (m/w/d),13319-805910/1_534769LS-S,"Unknown, 00000 Mainz am Rhein, Rheinland-Pfalz",49.97029778949754,8.237055347274486,Hays Professional Solutions GmbH Standort Wiesbaden,2025-02-18,2025-02-18
ERP-Organisator/in,SAP Inhouse FI/CO Consultant (m/w/d),13319-807752/1_535796LS-S,"Unknown, 01909 Frankenthal bei Bischofswerda, Sachsen",51.130030673196124,14.11317281304491,Hays AG,2025-02-18,2025-02-18
ERP-Organisator/in,Leitung Competence Center SAP (m/w/d),13319-807417/1_535799LS-S,"Unknown, 00000 Unknown, Nordrhein-Westfalen",0.0,0.0,Hays AG,2025-02-18,2025-02-18
Informatiker/in,Systemspezialist Netzwerke  (m/w/d),13319-806376/1_534973LS-S,"Unknown, 00000 Dortmund, Nordrhein-Westfalen",51.51481384798217,7.4724045211566015,Hays Professional Solutions GmbH Standort Dortmund,2025-02-18,2025-02-18
Informatiker/in,Senior IT-Experte für IT-Projekte im Gesundheitswesen,13319-806444/1_534775LS-S,"Unknown, 00000 Köln, Nordrhein-Westfalen",50.94552983709192,6.970144021816024,Hays AG,2025-02-18,2025-02-18
Informatiker/in,Informatiker (m/w/d),10000-1183645728-S,"Gewerbepark 8 - 10, 59069 Hamm, Westfalen, Nordrhein-Westfalen",51.6237748,7.8486785,ingenit GmbH & Co. KG,2025-02-18,2025-02-18
Fachinformatiker/in - Systemintegration,IT-Fieldservice Techniker (m/w/d),10001-1001030341-S,"Unknown, 00000 Stuttgart, Baden-Württemberg",48.774671993000084,9.174501232000068,Allgeier IT Services GmbH,2025-02-18,2025-02-18
Informatiker/in,Projektmanager/in IT (w/m/d),10000-1201651010-S,"Unknown, 00000 Kiel, Schleswig-Holstein",54.3315224,10.1391057,Investitionsbank Schleswig-Holstein,2025-02-18,2025-02-18
Informatiker/in,"Software-Entwickler (m/w/d), Hamm",10000-1182291487-S,"Gewerbepark 8 - 10, 59069 Hamm, Westfalen, Nordrhein-Westfalen",51.6237748,7.8486785,ingenit GmbH & Co. KG,2025-02-18,2025-02-18
Informatiker/in,SAP Spezialist:in Produktion (m/w/d),10001-1001157573-S,"Unknown, 00000 Unknown, Nordrhein-Westfalen",0.0,0.0,Novolos 01 GmbH,2025-02-18,2025-02-18
Wirtschaftsinformatiker/in (Hochschule),"Application Manager (Informatiker, Wirtschaftsinformatiker oder erfahrener Fachinformatiker (m/w/d)",12117-27438164-YF-S,"Unknown, 77933 Lahr, Schwarzwald, Baden-Württemberg",48.3396864,7.8704988,Elektrizitätswerk Mittelbaden AG & Co. KG,2025-02-18,2025-02-18
Wirtschaftsinformatiker/in (Hochschule),"Application Manager (Informatiker, Wirtschaftsinformatiker oder erfahrener Fachinformatiker (m/w/d)",12117-27438169-YF-S,"Unknown, 77933 Lahr, Schwarzwald, Baden-Württemberg",48.3396864,7.8704988,Elektrizitätswerk Mittelbaden AG & Co. KG,2025-02-18,2025-02-18
Machine Learning Engineer,Senior AI Engineer (m/w/d),12117-27438124-YF-S,"Unknown, 80331 München, Bayern",48.1355582,11.573949,IPPEN.MEDIA,2025-02-18,2025-02-18
Wirtschaftsinformatiker/in (Hochschule),"Application Manager (Informatiker, Wirtschaftsinformatiker oder erfahrener Fachinformatiker (m/w/d)",12117-27438170-YF-S,"Unknown, 77933 Lahr, Schwarzwald, Baden-Württemberg",48.3396864,7.8704988,Elektrizitätswerk Mittelbaden AG & Co. KG,2025-02-18,2025-02-18
Machine Learning Engineer,Agentic AI Engineer (m/w/d),12117-27438125-YF-S,"Unknown, 80331 München, Bayern",48.1355582,11.573949,IPPEN.MEDIA,2025-02-18,2025-02-18
Wirtschaftsinformatiker/in (Hochschule),Head of Data & Analytics (m/w/d),12117-27438121-YF-S,"Unknown, 80331 München, Bayern",48.1355582,11.573949,IPPEN.MEDIA,2025-02-18,2025-02-18
Informatiker/in,Senior Manager Schwerpunkt Technology GRC (m/w/d) Vollzeit / Teilzeit,12117-27438078-YF-S,"Unknown, 70173 Stuttgart, Baden-Württemberg",48.7812753,9.1806188,PKF WULF GRUPPE,2025-02-18,2025-02-18
